거래소코드,label,pred,proba1,회사명,회계년도
025890,1.0,1,0.97257113,한국주강(주),2013/12
025900,0.0,0,0.018397905,동화기업(주),2012/12
025950,1.0,1,0.868105,동신건설(주),2019/12
025980,0.0,0,0.0027615132,(주)아난티,2012/12
026040,0.0,0,0.026558537,(주)제이에스티나,2017/12
026150,0.0,0,0.068931185,(주)특수건설,2012/12
026180,0.0,0,0.009818297,현대정보기술(주),2012/12
026260,0.0,0,0.008616208,(주)위너지스,2012/12
026910,1.0,1,0.9341711,광진실업(주),2013/12
027040,0.0,0,0.04962928,서울전자통신(주),2012/12
027050,0.0,0,0.09786258,(주)코리아나화장품,2012/12
027390,0.0,0,0.013392446,(주)한화갤러리아타임월드,2016/12
027580,0.0,0,0.0850443,(주)상보,2014/12
027710,1.0,1,0.9744668,(주)팜스토리,2013/12
027740,0.0,0,0.018337503,(주)마니커,2012/12
027970,0.0,0,0.02027729,한국제지(주),2012/12
028040,0.0,0,0.009264078,(주)미래SCI,2012/12
028260,0.0,0,0.056618273,삼성물산(주),2015/12
028300,0.0,0,0.036451798,에이치엘비(주),2012/12
028670,0.0,0,0.04942153,팬오션(주),2012/12
029480,0.0,0,0.0062856297,(주)광무,2012/12
030200,1.0,1,0.95942193,(주)케이티,2014/12
030270,1.0,1,0.86454016,(주)에스마크,2012/12
030350,1.0,1,0.9249566,(주)드래곤플라이,2013/12
030720,0.0,0,0.012950275,동원수산(주),2012/12
030790,0.0,0,0.041594505,비케이탑스(주),2012/12
031310,1.0,1,0.9252147,(주)아이즈비전,2012/12
031330,1.0,1,0.9289529,(주)에스에이엠티,2014/12
031390,1.0,1,0.9129002,(주)녹십자셀,2013/12
031510,1.0,1,0.9404499,(주)오스템,2014/12
031820,0.0,0,0.031456344,(주)콤텍시스템,2013/12
031860,0.0,0,0.011848229,에스유홀딩스(주),2013/12
032040,0.0,0,0.057441093,(주)씨앤에스자산관리,2014/12
032080,1.0,1,0.954375,(주)아즈텍더블유비이,2013/12
032280,1.0,1,0.9039739,(주)삼일,2015/12
032350,0.0,0,0.010062438,롯데관광개발(주),2019/12
032420,0.0,0,0.03043179,(주)터보테크,2012/12
032500,0.0,0,0.012242947,(주)케이엠더블유,2014/12
032540,1.0,1,0.88642585,티제이미디어(주),2014/12
032580,0.0,0,0.040146574,(주)피델릭스,2015/12
032640,1.0,1,0.90427965,(주)엘지유플러스,2012/12
032680,1.0,1,0.8863828,(주)소프트센,2015/12
032790,0.0,0,0.0025552134,(주)엠젠솔루션,2012/12
032820,0.0,0,0.030986516,(주)우리기술,2012/12
032850,1.0,1,0.9554886,(주)비트컴퓨터,2018/12
032860,0.0,0,0.03421046,더라미(주),2012/12
032940,0.0,0,0.04405514,(주)원익,2012/12
