거래소코드,회사명,회계년도,label,pred,proba1
031310,(주)아이즈비전,2012/12,1.0,1.0,0.83
031330,(주)에스에이엠티,2014/12,1.0,1.0,0.8
031390,(주)녹십자셀,2013/12,1.0,1.0,0.81
031440,(주)신세계푸드,2020/12,1.0,1.0,0.53
031510,(주)오스템,2014/12,1.0,1.0,0.76
031820,(주)콤텍시스템,2013/12,0.0,0.0,0.23
031860,에스유홀딩스(주),2013/12,0.0,0.0,0.04
031980,피에스케이홀딩스(주),2020/12,1.0,0.0,0.45
032040,(주)씨앤에스자산관리,2014/12,0.0,0.0,0.1
032080,(주)아즈텍더블유비이,2013/12,1.0,1.0,0.98
032280,(주)삼일,2015/12,1.0,1.0,0.8
032350,롯데관광개발(주),2019/12,0.0,0.0,0.08
032420,(주)터보테크,2012/12,0.0,0.0,0.02
032500,(주)케이엠더블유,2014/12,0.0,0.0,0.1
032540,티제이미디어(주),2014/12,1.0,1.0,0.96
032580,(주)피델릭스,2015/12,0.0,0.0,0.25
032640,(주)엘지유플러스,2012/12,1.0,1.0,0.81
032680,(주)소프트센,2015/12,1.0,1.0,0.74
032790,(주)엠젠솔루션,2012/12,0.0,0.0,0.07
032820,(주)우리기술,2012/12,0.0,0.0,0.07
032850,(주)비트컴퓨터,2018/12,1.0,1.0,0.78
032860,더라미(주),2012/12,0.0,0.0,0.21
032940,(주)원익,2012/12,0.0,0.0,0.13
032960,(주)동일기연,2018/12,1.0,1.0,0.82
032980,바이온(주),2017/12,0.0,0.0,0.09
033050,제이엠아이(주),2012/12,0.0,0.0,0.04
033100,제룡전기(주),2016/12,0.0,0.0,0.14
033110,(주)코너스톤네트웍스,2012/12,1.0,1.0,0.92
033170,시그네틱스(주),2014/12,1.0,1.0,0.84
033180,(주)케이에이치필룩스,2018/12,0.0,0.0,0.1
033230,(주)인성정보,2015/12,1.0,1.0,0.83
033240,자화전자(주),2018/12,0.0,0.0,0.25
033290,코웰패션(주),2013/12,0.0,0.0,0.09
033310,(주)엠투엔,2019/12,0.0,0.0,0.08
033320,제이씨현시스템(주),2012/12,1.0,1.0,0.99
033340,(주)좋은사람들,2013/12,1.0,1.0,0.98
033430,디에스티(주),2012/12,0.0,0.0,0.09
033500,(주)동성화인텍,2017/12,0.0,0.0,0.06
033530,세종공업(주),2017/12,0.0,0.0,0.3
033540,(주)파라텍,2018/12,0.0,0.0,0.29
033560,(주)블루콤,2019/12,0.0,0.0,0.15
033600,럭슬(주),2012/12,0.0,0.0,0.11
033640,(주)네패스,2013/12,0.0,0.0,0.23
033790,(주)스카이문스테크놀로지,2012/12,0.0,0.0,0.18
033920,(주)무학,2018/12,0.0,0.0,0.14
034020,두산에너빌리티(주),2015/12,1.0,1.0,0.92
034120,(주)에스비에스,2014/12,1.0,1.0,0.92
034220,엘지디스플레이(주),2019/12,0.0,0.0,0.13
034230,(주)파라다이스,2017/12,0.0,0.0,0.12
034300,신세계건설(주),2013/12,1.0,1.0,0.74
034730,에스케이(주),2020/12,1.0,1.0,0.64
034940,조아제약(주),2014/12,0.0,0.0,0.16
035080,(주)그래디언트,2020/12,0.0,1.0,0.53
035250,(주)강원랜드,2020/12,0.0,0.0,0.32
035290,(주)골드앤에스,2012/12,0.0,0.0,0.15
035460,(주)기산텔레콤,2012/12,1.0,1.0,0.95
035480,(주)제이테크놀로지,2012/12,0.0,0.0,0.03
035610,(주)솔본,2012/12,0.0,0.0,0.16
035620,(주)바른손이앤에이,2013/12,0.0,0.0,0.07
035810,(주)이지홀딩스,2013/12,1.0,1.0,0.82
035890,(주)서희건설,2012/12,1.0,1.0,0.93
