거래소코드,회사명,회계년도,label,pred,proba1
017000,신원종합개발(주),2015/12,1.0,1,0.9356595
017180,명문제약(주),2012/12,1.0,1,0.9373572
017370,(주)우신시스템,2018/12,0.0,0,0.088713996
017390,서울도시가스(주),2015/12,0.0,0,0.09563466
017650,(주)대림제지,2015/12,1.0,1,0.92402893
017680,(주)데코앤이,2012/12,0.0,0,0.12031113
017900,광전자(주),2012/12,0.0,0,0.092404634
017940,(주)이원,2015/12,0.0,0,0.01559261
018000,유니슨(주),2012/12,0.0,0,0.103938945
018290,(주)브이티지엠피,2012/12,0.0,0,0.035912734
018470,조일알미늄(주),2014/12,0.0,0,0.063810825
018620,우진비앤지(주),2015/12,0.0,0,0.018248659
018680,(주)서울제약,2015/12,0.0,0,0.043603335
019010,베뉴지(주),2012/12,0.0,0,0.034969557
019170,신풍제약(주),2015/12,1.0,1,0.8744626
019180,(주)티에이치엔,2012/12,0.0,0,0.045696963
019210,(주)와이지-원,2019/12,0.0,0,0.07460289
019440,(주)세아특수강,2020/12,1.0,1,0.94661516
019490,(주)하이트론씨스템즈,2012/12,0.0,0,0.034964208
019540,(주)일지테크,2017/12,0.0,0,0.023887774
019660,글로본(주),2018/12,0.0,0,0.037436683
019680,(주)대교,2020/12,0.0,0,0.22824736
019770,(주)서연탑메탈,2018/12,0.0,0,0.07738952
020120,(주)키다리스튜디오,2012/12,1.0,1,0.92320186
020150,롯데에너지머티리얼즈(주),2012/12,0.0,0,0.046081666
020400,대동금속(주),2012/12,1.0,1,0.92044055
020560,아시아나항공(주),2013/12,0.0,0,0.041090343
020710,(주)시공테크,2015/12,0.0,0,0.05454407
020760,일진디스플레이(주),2015/12,0.0,0,0.028338658
021040,(주)대호특수강,2012/12,0.0,0,0.061332192
021050,(주)서원,2012/12,0.0,0,0.11565784
021320,(주)케이씨씨건설,2012/12,0.0,0,0.049924668
022220,티케이지애강(주),2012/12,0.0,0,0.075430125
023150,(주)MH에탄올,2013/12,1.0,1,0.94690216
023160,(주)태광,2020/12,1.0,1,0.85507125
023410,유진기업(주),2012/12,1.0,1,0.9719509
023430,아이이(주),2012/12,1.0,1,0.85501844
023440,제이스코홀딩스(주),2012/12,0.0,0,0.013586865
023530,롯데쇼핑(주),2019/12,0.0,0,0.07442683
023770,(주)플레이위드코리아,2012/12,0.0,0,0.012294711
023790,동일철강(주),2012/12,0.0,0,0.08567587
023800,인지컨트롤스(주),2019/12,0.0,0,0.042567566
023810,(주)인팩,2017/12,1.0,1,0.9584076
023960,에쓰씨엔지니어링(주),2012/12,0.0,0,0.053903814
024060,흥구석유(주),2013/12,1.0,1,0.91979223
024070,(주)위스컴,2018/12,1.0,1,0.96423763
024090,디씨엠(주),2014/12,1.0,1,0.94270486
024120,KB오토시스(주),2021/12,1.0,1,0.58274794
024660,(주)하림홀딩스,2012/12,1.0,1,0.96178013
024740,한일단조공업(주),2012/12,1.0,1,0.93521434
024800,(주)유성티엔에스,2012/12,1.0,1,0.9498638
024810,이화전기공업(주),2012/12,0.0,0,0.018383775
024830,(주)세원물산,2012/12,0.0,0,0.07603277
024840,케이비아이메탈(주),2012/12,1.0,1,0.9888554
024850,에이치엘비이노베이션(주),2014/12,0.0,0,0.029682571
024880,(주)케이피에프,2020/12,0.0,0,0.40895534
024890,대원화성(주),2012/12,1.0,1,0.98080677
024900,덕양산업(주),2012/12,0.0,0,0.033018466
024910,경창산업(주),2012/12,1.0,1,0.9355869
024940,(주)피엔풍년,2019/12,1.0,1,0.98733085
024950,삼천리자전거(주),2017/12,0.0,0,0.0040906253
025270,부산방직공업(주),2014/12,0.0,0,0.08709256
025320,(주)시노펙스,2012/12,1.0,1,0.97650003
025440,(주)디에이치오토웨어,2012/12,0.0,0,0.028606482
025560,미래산업(주),2012/12,0.0,0,0.016482014
025620,제이준코스메틱(주),2012/12,0.0,0,0.017802639
025750,(주)한솔홈데코,2012/12,1.0,1,0.9647259
025820,이구산업(주),2012/12,0.0,0,0.05770092
025850,한화화인케미칼(주),2012/12,0.0,0,0.018050458
025860,남해화학(주),2012/12,1.0,1,0.9786254
025870,신라에스지(주),2012/12,1.0,1,0.9107531
025880,(주)케이씨피드,2014/12,0.0,0,0.065252006
025890,한국주강(주),2013/12,1.0,1,0.9745224
025900,동화기업(주),2012/12,0.0,0,0.009534344
025950,동신건설(주),2019/12,1.0,1,0.9115054
025980,(주)아난티,2012/12,0.0,0,0.004779532
026040,(주)제이에스티나,2017/12,0.0,0,0.04386982
026150,(주)특수건설,2012/12,0.0,0,0.11635208
026180,현대정보기술(주),2012/12,0.0,0,0.0077144303
026260,(주)위너지스,2012/12,0.0,0,0.027708141
026910,광진실업(주),2013/12,1.0,1,0.95526236
027040,서울전자통신(주),2012/12,0.0,0,0.03752218
027050,(주)코리아나화장품,2012/12,0.0,0,0.076583005
027390,(주)한화갤러리아타임월드,2016/12,0.0,0,0.0079730945
027580,(주)상보,2014/12,0.0,0,0.08618463
027710,(주)팜스토리,2013/12,1.0,1,0.9631153
027740,(주)마니커,2012/12,0.0,0,0.04260471
027970,한국제지(주),2012/12,0.0,0,0.0722392
028040,(주)미래SCI,2012/12,0.0,0,0.00506878
028080,(주)휴맥스홀딩스,2021/12,0.0,0,0.039131228
028260,삼성물산(주),2015/12,0.0,0,0.06774429
028300,에이치엘비(주),2012/12,0.0,0,0.036373004
028670,팬오션(주),2012/12,0.0,0,0.034124535
029480,(주)광무,2012/12,0.0,0,0.0025848413
029530,(주)신도리코,2020/12,1.0,0,0.48708957
030200,(주)케이티,2014/12,1.0,1,0.9588133
030270,(주)에스마크,2012/12,1.0,1,0.8100946
030350,(주)드래곤플라이,2013/12,1.0,1,0.9377692
030720,동원수산(주),2012/12,0.0,0,0.01502888
030790,비케이탑스(주),2012/12,0.0,0,0.030499937
031310,(주)아이즈비전,2012/12,1.0,1,0.9413407
031330,(주)에스에이엠티,2014/12,1.0,1,0.9238911
031390,(주)녹십자셀,2013/12,1.0,1,0.9079538
031440,(주)신세계푸드,2020/12,1.0,1,0.6763132
031510,(주)오스템,2014/12,1.0,1,0.9315908
031820,(주)콤텍시스템,2013/12,0.0,0,0.112001434
031860,에스유홀딩스(주),2013/12,0.0,0,0.006953334
031980,피에스케이홀딩스(주),2020/12,1.0,1,0.96303755
032040,(주)씨앤에스자산관리,2014/12,0.0,0,0.048441112
032080,(주)아즈텍더블유비이,2013/12,1.0,1,0.99456465
032280,(주)삼일,2015/12,1.0,1,0.961508
032350,롯데관광개발(주),2019/12,0.0,0,0.008746344
032420,(주)터보테크,2012/12,0.0,0,0.012649724
032500,(주)케이엠더블유,2014/12,0.0,0,0.039297376
032540,티제이미디어(주),2014/12,1.0,1,0.9716049
032580,(주)피델릭스,2015/12,0.0,0,0.02627139
032640,(주)엘지유플러스,2012/12,1.0,1,0.9057944
